trial,year,variety_type,state ,trial_loc,treat,treat_code,defol_perc,yield,source
1,1990,Runner,Oklahoma,Plat,1,BR,0,2196,
1,1990,Runner,Oklahoma,Plat,2,BR,0,2559,
1,1990,Runner,Oklahoma,Plat,3,UTC,24.8,2341,
2,1991,Runner,Oklahoma,Plat,1,BR,10,3829,
2,1991,Runner,Oklahoma,Plat,2,BR,18.7,3521,
2,1991,Runner,Oklahoma,Plat,3,UTC,93.5,2087,
3,1991,Runner,Oklahoma,FC,1,BR,0,2305,
3,1991,Runner,Oklahoma,FC,2,BR,0,1924,
3,1991,Runner,Oklahoma,FC,3,FO,0,2686,
3,1991,Runner,Oklahoma,FC,4,UTC,0,2468,
4,1991,Runner,Oklahoma,Burney,1,BR,0,4462,
4,1991,Runner,Oklahoma,Burney,2,BR,0.8,4265,
4,1991,Runner,Oklahoma,Burney,3,FO,0.2,4613,
4,1991,Runner,Oklahoma,Burney,4,UTC,63.5,3373,
5,1991,Runner,Oklahoma,Wet,1,BR,0,5325,
5,1991,Runner,Oklahoma,Wet,2,BR,0,4799,
5,1991,Runner,Oklahoma,Wet,3,FO,0,5456,
5,1991,Runner,Oklahoma,Wet,4,FO,0.1,5245,
5,1991,Runner,Oklahoma,Wet,5,UTC,73.3,4465,
6,1991,Runner,Oklahoma,Perk,1,BR,0,4193,
6,1991,Runner,Oklahoma,Perk,2,BR,0,4102,
6,1991,Runner,Oklahoma,Perk,3,BR,3.1,4265,
6,1991,Runner,Oklahoma,Perk,4,FO,0.4,4392,
6,1991,Runner,Oklahoma,Perk,5,BR,0,4229,
6,1991,Runner,Oklahoma,Perk,6,BR,2.9,4102,
6,1991,Runner,Oklahoma,Perk,7,BR,1.2,4029,
6,1991,Runner,Oklahoma,Perk,8,BR,1.5,4229,
6,1991,Runner,Oklahoma,Perk,9,UTC,14.2,3956,
7,1992,Runner,Oklahoma,Burney,1,UTC,44,1679,
7,1992,Runner,Oklahoma,Burney,2,BR,0,3872,
7,1992,Runner,Oklahoma,Burney,3,BR,5,3569,
7,1992,Runner,Oklahoma,Burney,4,TI,0,3826,
7,1992,Runner,Oklahoma,Burney,5,FO,0,4099,
7,1992,Runner,Oklahoma,Burney,6,TO+D,18,2813,
7,1992,Runner,Oklahoma,Burney,7,BE+D,12,2949,
8,1993,Runner,Oklahoma,NF,1,BR,0,2858,
8,1993,Runner,Oklahoma,NF,2,BR,10,3206,
8,1993,Runner,Oklahoma,NF,3,TI,5,2631,
8,1993,Runner,Oklahoma,NF,4,FO,2,2895,
8,1993,Runner,Oklahoma,NF,5,TER,4,2873,
8,1993,Runner,Oklahoma,NF,6,UTC,46,2601,
9,1993,Runner,Oklahoma,PERK,1,BR,1,3267,
9,1993,Runner,Oklahoma,PERK,2,BR,13.1,3594,
